GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nart,com.nart.handler,AllExceptionHander,5,3,0,0,2,1,1,1,1,1
nart,com.nart.handler,LoginInterceptor,50,7,6,0,19,2,6,2,3,2
nart,com.nart.handler,WebSocketListener,7,3,0,0,3,2,2,1,2,1
nart,com.nart,TestApplication,5,3,0,0,2,1,1,1,1,1
nart,com.nart.util,SpringUtil,15,24,1,1,4,6,5,3,4,3
nart,com.nart.util,ErrorCode,577,0,0,0,49,0,6,0,6,0
nart,com.nart.util,UserThreadLocal,3,13,0,0,2,4,1,3,1,3
nart,com.nart.util,RandomContentGenerator,126,0,12,0,29,0,13,0,7,0
nart,com.nart.util,RedisUtil,329,8,22,0,73,2,44,2,33,2
nart,com.nart.util,CopyUtil,101,0,6,0,22,0,7,0,4,0
nart,com.nart.util,FakeDataGenerator,960,14,58,0,222,3,50,1,21,1
nart,com.nart.util,GsonFormatter,17,0,0,0,4,0,4,0,4,0
nart,com.nart.util,Result,256,0,38,0,9,0,35,0,16,0
nart,com.nart.util,EncryptUtil,90,0,0,0,25,0,6,0,6,0
nart,com.nart.config,WebSocketConfig,19,11,2,0,5,3,2,3,1,3
nart,com.nart.config,MybatisPlusConfig,0,14,0,0,0,4,0,2,0,2
nart,com.nart.config,RedisConfig,0,35,0,0,0,8,0,2,0,2
nart,com.nart.config,WebMVCConfig,0,132,0,0,0,16,0,4,0,4
nart,com.nart.config,ThreadPoolConfig,0,29,0,0,0,10,0,2,0,2
nart,com.nart.vo,CommentVo,245,0,38,0,14,0,33,0,14,0
nart,com.nart.vo,FriendVo,280,3,46,0,12,1,38,1,15,1
nart,com.nart.vo,DateVo,259,0,16,0,29,0,25,0,17,0
nart,com.nart.vo,WSMsg,341,0,62,0,8,0,50,0,19,0
nart,com.nart.vo,UserVo,204,291,58,22,0,22,41,25,1,25
nart,com.nart.vo,RequestVo,313,3,54,0,11,1,44,1,17,1
nart,com.nart.vo,PageVo,102,0,10,0,4,0,15,0,10,0
nart,com.nart.vo,GroupVo,126,203,39,15,0,15,28,17,1,17
nart,com.nart.vo,MessageVo,503,3,78,0,29,1,63,1,24,1
nart,com.nart.vo,InviteVo,145,214,45,17,0,13,32,19,1,19
nart,com.nart.vo,StatusVo,663,3,88,0,67,1,71,1,27,1
nart,com.nart.util.upload,IpUtils,107,0,28,0,25,0,18,0,4,0
nart,com.nart.util.upload,ImgtuUtil,798,0,70,0,158,0,55,0,19,0
